,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
49-F,Palmer Sq,Princeton Center,0,1,0,Flat,1932,NA,"$320,000.00","$320,000.00","$320,000.00",3/14/22,7,7
44-H,Nassau St,Princeton Center,0,1,0,Flat,1932,NA,"$369,000.00","$329,000.00","$320,000.00",1/4/22,13,175
218,Birch Ave,Princeton Center,3,1,0,Twin,1929,NA,"$395,000.00","$395,000.00","$395,000.00",2/28/22,6,6
12,Birch Ave,Princeton Center,3,1,0,Twin,NA,0.04,"$549,000.00","$495,000.00","$475,000.00",3/3/22,85,85
93-95,Leigh Ave,Princeton Center,3,2,0,Bungalow,1940,0.07,"$549,000.00","$549,000.00","$590,000.00",1/21/22,17,17
58,Leigh Ave,Princeton Center,3,2,0,Traditional,1900,0.08,"$649,000.00","$649,000.00","$640,000.00",2/28/22,11,11
63,S Harrison St,Riverside,3,1,1,Twin,1920,0.11,"$700,000.00","$665,000.00","$650,000.00",3/25/22,146,146
408,Frankin Ave,Littlebrook,3,2,0,Raised Ranch,1950,0.21,"$693,000.00","$670,000.00","$650,000.00",2/9/22,118,118
48,Linden Ln,Princeton Center,2,1,1,Twin,1948,NA,"$650,000.00","$650,000.00","$660,000.00",4/19/22,22,22
208,Ross Stevenson Cir,Littlebrook,3,2,0,Townhome,1985,NA,"$698,000.00","$698,000.00","$660,000.00",3/22/22,25,25
202,Ross Stevenson Cir,Littlebrook,3,2,0,Townhome,1985,NA,"$698,000.00","$698,000.00","$660,000.00",3/1/22,42,42
211,Ross Stevenson Cir,Littlebrook,3,2,0,Townhome,1985,NA,"$799,000.00","$698,000.00","$660,000.00",2/17/22,207,207
205,Ross Stevenson Cir,Littlebrook,3,2,0,Townhome,1985,NA,"$698,000.00","$698,000.00","$660,000.00",2/4/22,31,31
15,Campbell Woods Way,Campbell Woods,2,2,1,Townhome,1995,0.43,"$653,000.00","$653,000.00","$665,000.00",2/15/22,24,24
154,Witherspoon St,Princeton Center,3,2,1,Flat,2004,NA,"$725,000.00","$649,000.00","$670,000.00",1/31/22,180,180
3-G,Palmer Sq W,Princeton Center,2,1,0,Penthouse,1932,NA,"$725,000.00","$699,000.00","$682,000.00",4/6/22,202,353
210,Ross Stevenson Cir,Littlebrook,4,2,1,End Unit,1985,NA,"$739,000.00","$739,000.00","$715,000.00",2/18/22,44,44
387,Gallup Rd,Battlefield Area,4,3,1,Colonial,1966,2,"$698,000.00","$698,000.00","$725,000.00",3/15/22,9,9
182-404,Nassau St,Princeton Center,2,2,0,Flat,1984,NA,"$724,000.00","$724,000.00","$725,000.00",2/28/22,10,10
201,Ross Stevenson Cir,Littlebrook,4,2,1,End Unit 201,1985,NA,"$739,000.00","$739,000.00","$728,000.00",4/15/22,13,13
206,Ross Stevenson Cir,Littlebrook,4,2,1,End Unit,1985,NA,"$739,000.00","$739,000.00","$728,000.00",2/28/22,13,13
212,Ross Stevenson Cir,Littlebrook,4,3,1,End Unit 212,1985,NA,"$799,000.00","$739,000.00","$729,000.00",2/23/22,250,250
8,Benjamin Rush Ln,Washington Oaks,3,2,1,Townhome,1993,NA,"$698,000.00","$698,000.00","$745,000.00",1/7/22,9,9
740,Kingston Rd,Littlebrook,3,1,1,Cap,1953,0.67,"$750,000.00","$750,000.00","$750,000.00",3/15/22,34,34
33,Maidenhead Rd,Fieldwood Manors,2,3,1,Townhome,2000,0.07,"$725,000.00","$725,000.00","$767,000.00",3/8/22,19,19
331,State Rd,Town & Country,3,2,0,Contemp,1983,NA,"$698,000.00","$698,000.00","$798,000.00",3/21/22,7,7
19,Wilkinson Way,Washington Oaks,3,3,1,End Unit,1993,0.09,"$709,900.00","$709,900.00","$798,000.00",2/15/22,11,11
57,Governors Ln,Littlebrook,4,3,1,Townhome,1994,0.3,"$799,000.00","$799,000.00","$799,000.00",2/8/22,33,33
95,Cedar Ln,Riverside,3,2,0,Ranch,1949,0.28,"$775,000.00","$775,000.00","$825,000.00",1/12/22,1,1
31,Markham Rd,Riverside,3,1,1,Detached,1930,0.13,"$925,000.00","$850,000.00","$855,000.00",1/19/22,60,127
243,Guyot Ave,Princeton Center,2,2,1,Contemp,2021,NA,"$849,000.00","$835,000.00","$865,000.00",3/11/22,22,22
16,Stonewall Cir,Princeton Ridge,3,2,1,Twin,2002,NA,"$879,000.00","$879,000.00","$880,000.00",1/14/22,16,16
21,Stonewall Cir,Princeton Ridge,3,2,1,Townhome,1998,NA,"$949,900.00","$939,900.00","$885,000.00",3/15/22,94,94
8-3,Greenholm St,Princeton Center,2,2,0,Flat,1830,NA,"$880,000.00","$880,000.00","$900,000.00",2/23/22,8,8
2,Hornor Ln,Littlebrook,3,2,0,Split,1956,0.2,"$999,000.00","$950,000.00","$920,000.00",3/19/22,128,128
49,Lambert Dr,Rosedale Area,4,3,0,Ranch,1955,1.26,"$1,050,000.00","$999,999.00","$930,000.00",2/1/22,120,120
